replicate,alpha,n_answered,certgate_answered_err,apache_iva_brier_answered,apache_iva_auc_answered,n_apache_available
0,0.05,0,,,,0
0,0.1,10257,0.0527,0.048486,0.803611,10257
1,0.05,0,,,,0
1,0.1,10400,0.033,0.031676,0.817378,10400
2,0.05,0,,,,0
2,0.1,16732,0.0369,0.035513,0.79819,16732
3,0.05,0,,,,0
3,0.1,23477,0.0424,0.039733,0.818331,23477
4,0.05,0,,,,0
4,0.1,14565,0.0365,0.03452,0.812805,14565
5,0.05,0,,,,0
5,0.1,13198,0.0503,0.04554,0.832854,13198
6,0.05,0,,,,0
6,0.1,10824,0.0305,0.029823,0.779958,10824
7,0.05,0,,,,0
7,0.1,0,,,,0
8,0.05,0,,,,0
8,0.1,10581,0.0289,0.028895,0.817066,10581
9,0.05,0,,,,0
9,0.1,16892,0.0412,0.03911,0.812269,16892
10,0.05,0,,,,0
10,0.1,10405,0.0338,0.033176,0.789328,10405
11,0.05,0,,,,0
11,0.1,15785,0.0388,0.03732,0.793699,15785
12,0.05,0,,,,0
12,0.1,18377,0.0441,0.041602,0.807156,18377
13,0.05,0,,,,0
13,0.1,16776,0.0392,0.03741,0.804489,16776
14,0.05,0,,,,0
14,0.1,14536,0.0366,0.035196,0.796631,14536
15,0.05,0,,,,0
15,0.1,18231,0.0331,0.033497,0.778305,18231
16,0.05,0,,,,0
16,0.1,10559,0.0308,0.030519,0.817786,10559
17,0.05,0,,,,0
17,0.1,16317,0.0405,0.038692,0.824183,16317
18,0.05,0,,,,0
18,0.1,11380,0.0422,0.039344,0.811027,11380
19,0.05,0,,,,0
19,0.1,13632,0.0387,0.038381,0.799801,13632
