replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
0,apache-complete,hosp-60,0.05,233,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,1.0,1.0
0,apache-complete,hosp-60,0.1,233,bbse:bbse-misspecified,True,0.85,0.9099,212,0.033,False,<100,f,Midwest,1.0,1.0
0,apache-complete,hosp-90,0.05,11,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,1.0,1.0
0,apache-complete,hosp-90,0.1,11,bbse:bbse-misspecified,True,0.85,0.8182,9,0.1111,False,<100,f,Midwest,1.0,1.0
0,apache-complete,hosp-112,0.05,302,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,South,1.0,1.0
0,apache-complete,hosp-112,0.1,302,bbse:failsafe,True,0.85,0.8245,249,0.0361,False,250 - 499,f,South,1.0,1.0
0,apache-complete,hosp-115,0.05,26,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,South,1.0,1.0
0,apache-complete,hosp-115,0.1,26,bbse:bbse-misspecified,True,0.85,0.8462,22,0.0909,False,<100,f,South,1.0,1.0
0,apache-complete,hosp-122,0.05,2534,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,f,South,1.0,1.0
0,apache-complete,hosp-122,0.1,2534,bbse:failsafe,True,0.85,0.8808,2232,0.0551,False,>= 500,f,South,1.0,1.0
0,apache-complete,hosp-135,0.05,8,pool-too-small,False,,,0,,False,<100,f,South,1.0,1.0
0,apache-complete,hosp-135,0.1,8,pool-too-small,False,,,0,,False,<100,f,South,1.0,1.0
0,apache-complete,hosp-142,0.05,1251,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,f,South,1.0,1.0
0,apache-complete,hosp-142,0.1,1251,bbse:failsafe,True,0.85,0.8257,1033,0.0736,False,>= 500,f,South,1.0,1.0
0,apache-complete,hosp-206,0.05,767,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,Northeast,1.0,1.0
0,apache-complete,hosp-206,0.1,767,bbse:failsafe,True,0.85,0.7966,611,0.0638,False,250 - 499,f,Northeast,1.0,1.0
0,apache-complete,hosp-209,0.05,99,baseline:failsafe|bbse:failsafe,False,,,0,,False,,f,,1.0,1.0
0,apache-complete,hosp-209,0.1,99,bbse:failsafe,True,0.85,0.8384,83,0.0241,False,,f,,1.0,1.0
0,apache-complete,hosp-217,0.05,954,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,South,1.0,1.0
0,apache-complete,hosp-217,0.1,954,bbse:failsafe,True,0.85,0.7369,703,0.0356,False,250 - 499,f,South,1.0,1.0
0,apache-complete,hosp-226,0.05,751,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,West,1.0,1.0
