replicate,arm,alpha,certified,tau,tau_idx,deploy_mode,modes,coverage,n_target,n_answered,answered_err_rate,rm_fresh,rm_exceed,per_site_exceed_frac,hard,n_cal_carrying,head_auc_oos,head_auc_ablated,ablation_drop,leak_alarm,decline_reason
0,apache-complete,0.05,False,,,,,,12246,0,,,,,False,67,0.868788,0.868231,0.000557,False,baseline:failsafe|bbse:failsafe
0,apache-complete,0.1,True,0.85,15,baseline,baseline,0.8376,12246,10257,0.0527,0.04688,False,0.0833,False,67,0.868788,0.868231,0.000557,False,bbse:failsafe
1,apache-complete,0.05,False,,,,,,12461,0,,,,,False,67,0.861554,0.859437,0.002117,False,baseline:failsafe|bbse:failsafe
1,apache-complete,0.1,True,0.87,16,baseline,baseline,0.8346,12461,10400,0.033,0.034985,False,0.0,False,67,0.861554,0.859437,0.002117,False,bbse:failsafe
2,apache-complete,0.05,False,,,,,,19151,0,,,,,False,67,0.866213,0.864683,0.00153,False,baseline:failsafe|bbse:failsafe
2,apache-complete,0.1,True,0.83,14,baseline,baseline,0.8737,19151,16732,0.0369,0.037938,False,0.0,False,67,0.866213,0.864683,0.00153,False,bbse:failsafe
3,apache-complete,0.05,False,,,,,,26979,0,,,,,False,67,0.870007,0.868318,0.001689,False,baseline:failsafe|bbse:failsafe
3,apache-complete,0.1,True,0.83,14,baseline,baseline,0.8702,26979,23477,0.0424,0.036964,False,0.0,False,67,0.870007,0.868318,0.001689,False,bbse:failsafe
4,apache-complete,0.05,False,,,,,,17660,0,,,,,False,67,0.862169,0.859046,0.003123,False,baseline:failsafe|bbse:failsafe
4,apache-complete,0.1,True,0.87,16,baseline,baseline,0.8247,17660,14565,0.0365,0.036801,False,0.0,False,67,0.862169,0.859046,0.003123,False,bbse:failsafe
5,apache-complete,0.05,False,,,,,,14986,0,,,,,False,67,0.85763,0.856009,0.001621,False,baseline:failsafe|bbse:failsafe
5,apache-complete,0.1,True,0.81,13,baseline,baseline,0.8807,14986,13198,0.0503,0.049908,False,0.0833,False,67,0.85763,0.856009,0.001621,False,bbse:failsafe
6,apache-complete,0.05,False,,,,,,13473,0,,,,,False,67,0.866342,0.863615,0.002727,False,baseline:failsafe|bbse:failsafe
6,apache-complete,0.1,True,0.89,17,baseline,baseline,0.8034,13473,10824,0.0305,0.026804,False,0.0,False,67,0.866342,0.863615,0.002727,False,bbse:failsafe
7,apache-complete,0.05,False,,,,,,16581,0,,,,,False,67,0.868031,0.865786,0.002245,False,baseline:failsafe|bbse:failsafe
7,apache-complete,0.1,False,,,,,,16581,0,,,,,False,67,0.868031,0.865786,0.002245,False,baseline:failsafe|bbse:failsafe
8,apache-complete,0.05,False,,,,,,13681,0,,,,,False,67,0.860234,0.858346,0.001888,False,baseline:failsafe|bbse:failsafe
8,apache-complete,0.1,True,0.89,17,baseline,baseline,0.7734,13681,10581,0.0289,0.029138,False,0.0,False,67,0.860234,0.858346,0.001888,False,bbse:failsafe
9,apache-complete,0.05,False,,,,,,20210,0,,,,,False,67,0.863106,0.861244,0.001862,False,baseline:failsafe|bbse:failsafe
9,apache-complete,0.1,True,0.85,15,baseline,baseline,0.8358,20210,16892,0.0412,0.037404,False,0.0,False,67,0.863106,0.861244,0.001862,False,bbse:failsafe
10,apache-complete,0.05,False,,,,,,12278,0,,,,,False,67,0.858623,0.856199,0.002424,False,baseline:failsafe|bbse:failsafe
10,apache-complete,0.1,True,0.85,15,baseline,baseline,0.8475,12278,10405,0.0338,0.030963,False,0.0417,False,67,0.858623,0.856199,0.002424,False,bbse:failsafe
11,apache-complete,0.05,False,,,,,,18952,0,,,,,False,67,0.863049,0.861736,0.001314,False,baseline:failsafe|bbse:failsafe
11,apache-complete,0.1,True,0.87,16,baseline,baseline,0.8329,18952,15785,0.0388,0.040258,False,0.0,False,67,0.863049,0.861736,0.001314,False,bbse:failsafe
12,apache-complete,0.05,False,,,,,,21307,0,,,,,False,67,0.861077,0.859582,0.001495,False,baseline:failsafe|bbse:failsafe
12,apache-complete,0.1,True,0.83,14,baseline,baseline,0.8625,21307,18377,0.0441,0.051929,False,0.0833,False,67,0.861077,0.859582,0.001495,False,bbse:failsafe
13,apache-complete,0.05,False,,,,,,19164,0,,,,,False,67,0.85775,0.855645,0.002105,False,baseline:failsafe|bbse:failsafe
13,apache-complete,0.1,True,0.83,14,baseline,baseline,0.8754,19164,16776,0.0392,0.037991,False,0.0417,False,67,0.85775,0.855645,0.002105,False,bbse:failsafe
14,apache-complete,0.05,False,,,,,,17956,0,,,,,False,67,0.862349,0.861428,0.000921,False,baseline:failsafe|bbse:failsafe
14,apache-complete,0.1,True,0.89,17,baseline,baseline,0.8095,17956,14536,0.0366,0.030209,False,0.0417,False,67,0.862349,0.861428,0.000921,False,bbse:failsafe
15,apache-complete,0.05,False,,,,,,22774,0,,,,,False,67,0.85787,0.855518,0.002352,False,baseline:failsafe|bbse:failsafe
15,apache-complete,0.1,True,0.87,16,baseline,baseline,0.8005,22774,18231,0.0331,0.033379,False,0.0417,False,67,0.85787,0.855518,0.002352,False,bbse:failsafe
16,apache-complete,0.05,False,,,,,,12789,0,,,,,False,67,0.863653,0.862146,0.001507,False,baseline:failsafe|bbse:failsafe
16,apache-complete,0.1,True,0.85,15,baseline,baseline,0.8256,12789,10559,0.0308,0.031486,False,0.0,False,67,0.863653,0.862146,0.001507,False,bbse:failsafe
17,apache-complete,0.05,False,,,,,,19751,0,,,,,False,67,0.859756,0.859016,0.00074,False,baseline:failsafe|bbse:failsafe
17,apache-complete,0.1,True,0.85,15,baseline,baseline,0.8261,19751,16317,0.0405,0.032276,False,0.0,False,67,0.859756,0.859016,0.00074,False,bbse:failsafe
18,apache-complete,0.05,False,,,,,,12853,0,,,,,False,67,0.864582,0.863121,0.001461,False,baseline:failsafe|bbse:failsafe
18,apache-complete,0.1,True,0.83,14,baseline,baseline,0.8854,12853,11380,0.0422,0.044569,False,0.0417,False,67,0.864582,0.863121,0.001461,False,bbse:failsafe
19,apache-complete,0.05,False,,,,,,16736,0,,,,,False,67,0.869959,0.868032,0.001927,False,baseline:failsafe|bbse:failsafe
19,apache-complete,0.1,True,0.87,16,baseline,baseline,0.8145,16736,13632,0.0387,0.039797,False,0.0833,False,67,0.869959,0.868032,0.001927,False,bbse:failsafe
