s_u,draw,n_sites,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,per_site_exceed_frac,deploy_mode,decline_reason
0.5,0,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,0,208,0.1,True,0.55,0.9918032786885246,968,0.02066115702479339,False,False,0.057202,False,0.05,baseline,
0.5,1,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,1,208,0.1,True,0.55,0.9880715705765407,497,0.04627766599597585,False,False,0.058539,False,0.055,baseline,
0.5,2,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,2,208,0.1,True,0.55,0.9702734839476813,816,0.125,True,True,0.058764,False,0.105,baseline,
0.5,3,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,3,208,0.1,True,0.55,1.0,37,0.0,False,False,0.059586,False,0.09,baseline,
0.5,4,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,4,208,0.1,True,0.55,0.9839181286549707,673,0.10104011887072809,False,True,0.061296,False,0.07,baseline,
0.5,5,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,5,208,0.1,True,0.55,0.9861111111111112,710,0.056338028169014086,False,False,0.059109,False,0.08,baseline,
0.5,6,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,6,208,0.1,True,0.55,0.9459459459459459,140,0.05714285714285714,False,False,0.058313,False,0.06,baseline,
0.5,7,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,7,208,0.1,True,0.55,0.9862385321100917,430,0.07674418604651163,False,False,0.057825,False,0.07,baseline,
0.5,8,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,8,208,0.1,True,0.55,0.9953271028037384,426,0.03051643192488263,False,False,0.059758,False,0.065,baseline,
