draw,alpha,mode,target_base,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,decline_reason,deploy_mode,bbse_reason,bbse_rho_lo,bbse_rho_hi,bbse_gap_lo,bbse_q_target
0,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
0,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.5662678312584011,4.2258679617054575,0.4585196253646384,0.09129511677282377
0,0.1,baseline,0.22,True,0.5700000000000001,0.9628450106157113,907,0.09151047409040794,False,False,0.115977,True,,baseline,,,,,
0,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.5662678312584011,4.2258679617054575,0.4585196253646384,0.09129511677282377
1,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
1,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.1289441805190454,8.67304213681636,0.48324506625189245,0.14909090909090908
1,0.1,baseline,0.22,True,0.55,0.9745454545454545,268,0.11567164179104478,False,True,0.108901,True,,baseline,,,,,
1,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.1289441805190454,8.67304213681636,0.48324506625189245,0.14909090909090908
2,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
2,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.7322871219406772,17.607628432747443,0.4746993721566801,0.19796954314720813
2,0.1,baseline,0.22,True,0.55,0.9695431472081218,191,0.17801047120418848,True,True,0.117147,True,,baseline,,,,,
2,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.7322871219406772,17.607628432747443,0.4746993721566801,0.19796954314720813
3,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
3,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.6113120861821311,4.274009462425222,0.49295280197548097,0.10594795539033457
3,0.1,baseline,0.22,True,0.55,0.9851301115241635,530,0.08679245283018867,False,False,0.110041,True,,baseline,,,,,
3,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.6113120861821311,4.274009462425222,0.49295280197548097,0.10594795539033457
4,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
4,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.0317583965529757,66.74462041788945,0.5167463141015323,0.25
4,0.1,baseline,0.22,True,0.55,0.9772727272727273,43,0.13953488372093023,False,True,0.109668,True,,baseline,,,,,
4,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.0317583965529757,66.74462041788945,0.5167463141015323,0.25
5,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
5,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.3846415603816911,25.571794862214116,0.5154330700140629,0.18604651162790697
5,0.1,baseline,0.22,True,0.5900000000000001,0.9069767441860465,39,0.10256410256410256,False,True,0.095327,False,,baseline,,,,,
5,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.3846415603816911,25.571794862214116,0.5154330700140629,0.18604651162790697
6,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
6,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.5974585074822291,2.4033918599787407,0.48893703130883664,0.0939161252215003
6,0.1,baseline,0.22,True,0.55,0.9840519787359716,1666,0.06362545018007203,False,False,0.108153,True,,baseline,,,,,
6,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.5974585074822291,2.4033918599787407,0.48893703130883664,0.0939161252215003
7,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
7,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.9591707925134345,4.042267476011306,0.5027177526347062,0.12916111850865514
7,0.1,baseline,0.22,True,0.55,0.9773635153129161,734,0.09536784741144415,False,False,0.104544,True,,baseline,,,,,
7,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.9591707925134345,4.042267476011306,0.5027177526347062,0.12916111850865514
8,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
8,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.3770093344511013,4.395997227457016,0.47215552683319134,0.07666666666666666
8,0.1,baseline,0.22,True,0.61,0.9733333333333334,292,0.0684931506849315,False,False,0.110547,True,,baseline,,,,,
8,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.3770093344511013,4.395997227457016,0.47215552683319134,0.07666666666666666
9,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
9,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.0006001121690703753,34.75421699761458,0.4761482082464624,0.12903225806451613
9,0.1,baseline,0.22,True,0.55,0.967741935483871,30,0.2,True,True,0.113334,True,,baseline,,,,,
9,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.0006001121690703753,34.75421699761458,0.4761482082464624,0.12903225806451613
10,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
10,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.6618867581436638,60.27580169287978,0.49644824730116627,0.21428571428571427
10,0.1,baseline,0.22,True,0.55,0.9523809523809523,40,0.2,True,True,0.106142,True,,baseline,,,,,
10,0.1,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,0.6618867581436638,60.27580169287978,0.49644824730116627,0.21428571428571427
11,0.05,baseline,0.22,False,,0.0,0,nan,False,False,,,"{""baseline"": ""failsafe""}",,,,,,
11,0.05,bbse,0.22,False,,0.0,0,nan,False,False,,,"{""bbse"": ""failsafe""}",,failsafe,1.0259832558666946,4.464802691594779,0.4930054056556426,0.1364256480218281
