draw,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,deploy_mode,decline_reason
0,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0,0.1,True,0.55,0.9846153846153847,192,0.15104166666666666,True,True,0.161961,True,baseline,
1,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
1,0.1,True,0.81,0.9043126684636119,671,0.06855439642324888,False,False,0.121666,True,bbse,
2,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
2,0.1,True,0.55,0.9824561403508771,112,0.125,False,True,0.163706,True,baseline,
3,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
3,0.1,True,0.55,0.9872448979591837,387,0.09819121447028424,False,False,0.161489,True,baseline,
4,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
4,0.1,True,0.55,0.9823008849557522,333,0.17417417417417416,True,True,0.170321,True,baseline,
5,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
5,0.1,True,0.55,0.9747899159663865,116,0.27586206896551724,True,True,0.167224,True,baseline,
6,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
6,0.1,True,0.55,0.9870801033591732,382,0.1387434554973822,True,True,0.15817,True,baseline,
7,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
7,0.1,True,0.55,1.0,136,0.25735294117647056,True,True,0.169465,True,baseline,
8,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
8,0.1,True,0.55,0.9863297431648715,2381,0.13439731205375893,True,True,0.168898,True,baseline,
9,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
9,0.1,True,0.55,0.9813084112149533,315,0.23809523809523808,True,True,0.168554,True,baseline,
10,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
10,0.1,True,0.63,0.9660426643447976,2219,0.11401532221721496,True,True,0.16601,True,bbse,
11,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
11,0.1,True,0.55,0.9838709677419355,183,0.12021857923497267,False,True,0.153107,True,baseline,
12,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
12,0.1,True,0.55,0.9884559884559885,685,0.1781021897810219,True,True,0.170177,True,baseline,
13,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
13,0.1,True,0.55,0.974308300395257,493,0.19675456389452334,True,True,0.169659,True,baseline,
14,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
14,0.1,True,0.55,0.9706703910614525,695,0.23741007194244604,True,True,0.1778,True,baseline,
15,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
15,0.1,True,0.55,1.0,20,0.0,False,False,0.166396,True,baseline,
16,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
16,0.1,True,0.55,0.9712643678160919,169,0.15976331360946747,True,True,0.169072,True,baseline,
17,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
17,0.1,True,0.5700000000000001,0.9710144927536232,201,0.19402985074626866,True,True,0.165995,True,baseline,
18,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
18,0.1,True,0.5700000000000001,0.9795918367346939,288,0.1701388888888889,True,True,0.162204,True,baseline,
19,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
19,0.1,True,0.55,0.988394584139265,511,0.1506849315068493,True,True,0.162099,True,baseline,
20,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
20,0.1,True,0.5700000000000001,0.9920212765957447,373,0.10991957104557641,False,True,0.165521,True,baseline,
21,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
21,0.1,True,0.55,0.96,48,0.3125,True,True,0.156729,True,baseline,
22,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
22,0.1,True,0.8300000000000001,0.8749470114455278,2064,0.10077519379844961,False,True,0.110617,True,bbse,
23,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
23,0.1,True,0.55,0.9788732394366197,139,0.14388489208633093,True,True,0.16158,True,baseline,
24,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
24,0.1,True,0.55,0.9862068965517241,143,0.18181818181818182,True,True,0.164944,True,baseline,
25,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
25,0.1,True,0.55,0.9831365935919055,583,0.20926243567753003,True,True,0.16677,True,baseline,
26,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
26,0.1,True,0.5700000000000001,0.9892787524366472,1015,0.14876847290640394,True,True,0.161836,True,bbse,
27,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
27,0.1,True,0.55,0.9891304347826086,182,0.1813186813186813,True,True,0.159886,True,baseline,
28,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
28,0.1,True,0.55,0.992822966507177,415,0.1493975903614458,True,True,0.156769,True,baseline,
29,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
29,0.1,True,0.55,0.9855072463768116,136,0.125,False,True,0.163825,True,baseline,
30,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
30,0.1,True,0.55,1.0,39,0.1282051282051282,False,True,0.167789,True,baseline,
31,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
31,0.1,True,0.55,0.9776847977684798,701,0.24251069900142652,True,True,0.170151,True,baseline,
32,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
32,0.1,True,0.55,0.993485342019544,610,0.11475409836065574,False,True,0.160769,True,baseline,
33,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
33,0.1,True,0.55,0.984304932735426,878,0.23120728929384965,True,True,0.165056,True,baseline,
34,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
34,0.1,True,0.55,0.9912023460410557,1014,0.10157790927021697,False,True,0.169209,True,baseline,
35,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
35,0.1,True,0.55,0.988,4940,0.15850202429149798,True,True,0.171224,True,baseline,
36,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
36,0.1,True,0.55,0.986737400530504,372,0.10483870967741936,False,True,0.165476,True,baseline,
37,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
37,0.1,True,0.55,0.9935897435897436,155,0.05806451612903226,False,False,0.16216,True,baseline,
38,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
38,0.1,True,0.55,0.9830985915492958,349,0.3151862464183381,True,True,0.159688,True,baseline,
39,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
39,0.1,True,0.75,0.9440298507462687,1265,0.06007905138339921,False,False,0.136841,True,bbse,
40,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
40,0.1,True,0.5900000000000001,0.9736842105263158,370,0.15405405405405406,True,True,0.160965,True,baseline,
41,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
41,0.1,True,0.5700000000000001,1.0,52,0.21153846153846154,True,True,0.169101,True,baseline,
42,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
42,0.1,True,0.55,0.9737991266375546,223,0.07623318385650224,False,False,0.160165,True,baseline,
43,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
43,0.1,True,0.55,1.0,124,0.16129032258064516,True,True,0.176333,True,baseline,
44,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
44,0.1,True,0.55,0.9871794871794872,1232,0.14285714285714285,True,True,0.167502,True,baseline,
45,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
45,0.1,True,0.55,0.9946236559139785,185,0.1891891891891892,True,True,0.156525,True,baseline,
46,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
46,0.1,True,0.55,0.9902200488997555,405,0.1111111111111111,False,True,0.166383,True,baseline,
47,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
47,0.1,True,0.55,0.9821428571428571,220,0.11363636363636363,False,True,0.171855,True,baseline,
48,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
48,0.1,True,0.55,0.9889746416758545,897,0.12709030100334448,True,True,0.169756,True,baseline,
49,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
49,0.1,True,0.55,0.9789473684210527,186,0.17204301075268819,True,True,0.162724,True,baseline,
50,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
50,0.1,True,0.55,0.9797160243407708,483,0.2318840579710145,True,True,0.167489,True,baseline,
51,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
51,0.1,True,0.55,0.9910233393177738,552,0.13405797101449277,True,True,0.162946,True,baseline,
52,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
52,0.1,True,0.55,0.9845924453280318,1981,0.18778394750126198,True,True,0.165602,True,baseline,
53,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
53,0.1,True,0.55,0.9733924611973392,439,0.16856492027334852,True,True,0.163109,True,baseline,
54,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
54,0.1,True,0.55,0.9897435897435898,386,0.15544041450777202,True,True,0.169268,True,baseline,
55,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
55,0.1,True,0.55,0.9872340425531915,2088,0.21216475095785442,True,True,0.168984,True,baseline,
56,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
56,0.1,True,0.5900000000000001,0.9686539643515673,1576,0.19289340101522842,True,True,0.15901,True,baseline,
57,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
57,0.1,True,0.55,0.9923076923076923,516,0.18410852713178294,True,True,0.170792,True,baseline,
58,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
58,0.1,True,0.55,0.9843444227005871,503,0.15705765407554673,True,True,0.163984,True,baseline,
59,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
59,0.1,True,0.55,0.9864029666254636,798,0.15664160401002505,True,True,0.16145,True,baseline,
60,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
60,0.1,True,0.55,0.9864864864864865,73,0.0958904109589041,False,False,0.164798,True,baseline,
61,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
61,0.1,True,0.55,1.0,124,0.24193548387096775,True,True,0.157639,True,baseline,
62,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
62,0.1,True,0.55,0.989010989010989,90,0.06666666666666667,False,False,0.155736,True,baseline,
63,0.05,False,,0.0,0,nan,False,False,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
