n_sites,draw,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,decline_reason
60,0,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,0,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,1,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,1,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,2,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,2,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,3,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,3,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,4,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,4,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,5,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,5,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,6,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,6,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,7,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,7,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,8,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,8,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,9,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,9,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,10,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,10,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,11,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,11,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,12,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,12,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,13,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,13,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,14,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,14,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,15,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,15,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,16,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,16,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,17,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,17,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,18,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,18,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,19,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,19,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,20,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,20,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,21,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,21,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,22,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,22,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,23,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,23,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,24,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,24,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,25,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,25,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,26,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,26,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,27,0.05,False,,0.0,0,nan,False,insufficient-clusters
60,27,0.1,False,,0.0,0,nan,False,insufficient-clusters
60,28,0.05,False,,0.0,0,nan,False,insufficient-clusters
