site,size,coverage,answered_err,n_answered
e6t-0000,404,0.9876,0.0627,399
e6t-0001,98,0.9796,0.0625,96
e6t-0002,235,0.9745,0.0786,229
e6t-0003,717,0.9888,0.0508,709
e6t-0004,172,0.9826,0.1479,169
e6t-0005,204,0.9951,0.0443,203
e6t-0006,499,0.986,0.0488,492
e6t-0007,4108,0.9878,0.0473,4058
e6t-0008,899,0.9844,0.0282,885
e6t-0009,143,0.979,0.0786,140
e6t-0010,480,0.9875,0.0464,474
e6t-0011,2599,0.9877,0.0522,2567
e6t-0012,160,0.9812,0.0382,157
e6t-0013,151,0.9934,0.0933,150
e6t-0014,331,0.9789,0.142,324
e6t-0015,800,0.9912,0.0605,793
e6t-0016,948,0.9831,0.0579,932
e6t-0017,274,0.9891,0.059,271
e6t-0018,940,0.9872,0.0463,928
e6t-0019,1061,0.9934,0.0588,1054
e6t-0020,2034,0.9877,0.0627,2009
e6t-0021,834,0.982,0.0549,819
e6t-0022,95,0.9789,0.0645,93
e6t-0023,265,0.966,0.0508,256
e6t-0024,387,0.9922,0.0599,384
e6t-0025,187,0.9679,0.0829,181
e6t-0026,584,0.9829,0.0575,574
e6t-0027,201,0.9801,0.0305,197
e6t-0028,72,1.0,0.0278,72
e6t-0029,340,0.9765,0.0602,332
e6t-0030,169,0.9941,0.0952,168
e6t-0031,951,0.9853,0.0598,937
e6t-0032,146,0.9795,0.042,143
e6t-0033,2384,0.9841,0.0426,2346
e6t-0034,139,0.9928,0.0725,138
e6t-0035,169,0.9586,0.0432,162
e6t-0036,664,0.9834,0.0812,653
e6t-0037,55,1.0,0.0545,55
e6t-0038,634,0.9795,0.0692,621
e6t-0039,149,0.9664,0.0486,144
