s_u,draw,alpha,unit,certified,tau,coverage,rm_fresh,rm_exceed
0.5,0,0.05,site,False,,,,
0.5,0,0.05,record,True,0.69,0.941,0.041644,False
0.5,0,0.1,site,True,0.55,0.9857,0.056926,False
0.5,0,0.1,record,True,0.55,0.9857,0.056926,False
0.5,1,0.05,site,False,,,,
0.5,1,0.05,record,True,0.73,0.9215,0.036493,False
0.5,1,0.1,site,True,0.55,0.9851,0.058051,False
0.5,1,0.1,record,True,0.55,0.9851,0.058051,False
0.5,2,0.05,site,False,,,,
0.5,2,0.05,record,True,0.77,0.9082,0.033714,False
0.5,2,0.1,site,True,0.55,0.9861,0.057566,False
0.5,2,0.1,record,True,0.55,0.9861,0.057566,False
0.5,3,0.05,site,False,,,,
0.5,3,0.05,record,True,0.69,0.9377,0.040798,False
0.5,3,0.1,site,True,0.55,0.9847,0.055771,False
0.5,3,0.1,record,True,0.55,0.9847,0.055771,False
0.5,4,0.05,site,False,,,,
0.5,4,0.05,record,True,0.75,0.9148,0.037125,False
0.5,4,0.1,site,True,0.55,0.985,0.060936,False
0.5,4,0.1,record,True,0.55,0.985,0.060936,False
0.5,5,0.05,site,False,,,,
0.5,5,0.05,record,True,0.81,0.8815,0.027715,False
0.5,5,0.1,site,True,0.59,0.9721,0.05213,False
0.5,5,0.1,record,True,0.55,0.9847,0.056327,False
0.5,6,0.05,site,False,,,,
0.5,6,0.05,record,True,0.65,0.9531,0.04527,False
0.5,6,0.1,site,True,0.55,0.9856,0.057177,False
0.5,6,0.1,record,True,0.55,0.9856,0.057177,False
0.5,7,0.05,site,False,,,,
0.5,7,0.05,record,True,0.73,0.9203,0.035163,False
0.5,7,0.1,site,True,0.55,0.9843,0.05497,False
0.5,7,0.1,record,True,0.55,0.9843,0.05497,False
0.5,8,0.05,site,False,,,,
0.5,8,0.05,record,True,0.71,0.9311,0.039239,False
0.5,8,0.1,site,True,0.55,0.9853,0.058135,False
0.5,8,0.1,record,True,0.55,0.9853,0.058135,False
0.5,9,0.05,site,False,,,,
0.5,9,0.05,record,True,0.67,0.944,0.043355,False
0.5,9,0.1,site,True,0.55,0.9845,0.057723,False
0.5,9,0.1,record,True,0.55,0.9845,0.057723,False
0.5,10,0.05,site,False,,,,
0.5,10,0.05,record,True,0.81,0.8866,0.029584,False
0.5,10,0.1,site,True,0.57,0.9797,0.055531,False
0.5,10,0.1,record,True,0.55,0.9856,0.058011,False
0.5,11,0.05,site,False,,,,
0.5,11,0.05,record,True,0.65,0.9511,0.047132,False
0.5,11,0.1,site,True,0.55,0.9845,0.059922,False
0.5,11,0.1,record,True,0.55,0.9845,0.059922,False
0.5,12,0.05,site,False,,,,
0.5,12,0.05,record,True,0.79,0.8987,0.031378,False
0.5,12,0.1,site,True,0.55,0.9851,0.057006,False
0.5,12,0.1,record,True,0.55,0.9851,0.057006,False
0.5,13,0.05,site,False,,,,
0.5,13,0.05,record,True,0.83,0.8693,0.027258,False
0.5,13,0.1,site,True,0.57,0.9789,0.056437,False
0.5,13,0.1,record,True,0.55,0.985,0.058956,False
0.5,14,0.05,site,False,,,,
0.5,14,0.05,record,True,0.57,0.977,0.057065,True
0.5,14,0.1,site,True,0.55,0.9839,0.059705,False
0.5,14,0.1,record,True,0.55,0.9839,0.059705,False
0.5,15,0.05,site,False,,,,
0.5,15,0.05,record,True,0.65,0.9512,0.045493,False
0.5,15,0.1,site,True,0.55,0.9844,0.057196,False
0.5,15,0.1,record,True,0.55,0.9844,0.057196,False
0.5,16,0.05,site,False,,,,
0.5,16,0.05,record,True,0.75,0.9204,0.036161,False
0.5,16,0.1,site,True,0.55,0.9866,0.057286,False
0.5,16,0.1,record,True,0.55,0.9866,0.057286,False
0.5,17,0.05,site,False,,,,
0.5,17,0.05,record,True,0.69,0.9385,0.043462,False
0.5,17,0.1,site,True,0.55,0.9852,0.059858,False
0.5,17,0.1,record,True,0.55,0.9852,0.059858,False
0.5,18,0.05,site,False,,,,
0.5,18,0.05,record,True,0.67,0.9428,0.042452,False
0.5,18,0.1,site,True,0.55,0.9839,0.056775,False
0.5,18,0.1,record,True,0.55,0.9839,0.056775,False
0.5,19,0.05,site,False,,,,
0.5,19,0.05,record,True,0.75,0.9102,0.033422,False
0.5,19,0.1,site,True,0.55,0.9842,0.0568,False
0.5,19,0.1,record,True,0.55,0.9842,0.0568,False
0.5,20,0.05,site,False,,,,
0.5,20,0.05,record,True,0.65,0.9476,0.044093,False
0.5,20,0.1,site,True,0.55,0.9833,0.056818,False
0.5,20,0.1,record,True,0.55,0.9833,0.056818,False
0.5,21,0.05,site,False,,,,
0.5,21,0.05,record,True,0.73,0.9278,0.040169,False
0.5,21,0.1,site,True,0.55,0.9859,0.059454,False
0.5,21,0.1,record,True,0.55,0.9859,0.059454,False
0.5,22,0.05,site,False,,,,
0.5,22,0.05,record,True,0.77,0.9031,0.033775,False
0.5,22,0.1,site,True,0.55,0.985,0.059163,False
0.5,22,0.1,record,True,0.55,0.985,0.059163,False
0.5,23,0.05,site,False,,,,
0.5,23,0.05,record,True,0.65,0.9522,0.047659,False
0.5,23,0.1,site,True,0.55,0.985,0.059913,False
0.5,23,0.1,record,True,0.55,0.985,0.059913,False
0.5,24,0.05,site,False,,,,
0.5,24,0.05,record,True,0.79,0.8948,0.031732,False
0.5,24,0.1,site,True,0.55,0.9851,0.059749,False
0.5,24,0.1,record,True,0.55,0.9851,0.059749,False
0.5,25,0.05,site,False,,,,
0.5,25,0.05,record,True,0.73,0.9259,0.038387,False
0.5,25,0.1,site,True,0.55,0.9853,0.058103,False
0.5,25,0.1,record,True,0.55,0.9853,0.058103,False
0.5,26,0.05,site,False,,,,
0.5,26,0.05,record,True,0.79,0.8895,0.029809,False
0.5,26,0.1,site,True,0.55,0.9841,0.055991,False
0.5,26,0.1,record,True,0.55,0.9841,0.055991,False
0.5,27,0.05,site,False,,,,
0.5,27,0.05,record,True,0.69,0.94,0.041925,False
0.5,27,0.1,site,True,0.55,0.9847,0.057272,False
0.5,27,0.1,record,True,0.55,0.9847,0.057272,False
0.5,28,0.05,site,False,,,,
0.5,28,0.05,record,True,0.77,0.9048,0.033633,False
0.5,28,0.1,site,True,0.55,0.9848,0.057132,False
0.5,28,0.1,record,True,0.55,0.9848,0.057132,False
0.5,29,0.05,site,False,,,,
0.5,29,0.05,record,True,0.73,0.9254,0.03775,False
0.5,29,0.1,site,True,0.55,0.9858,0.057365,False
0.5,29,0.1,record,True,0.55,0.9858,0.057365,False
0.5,30,0.05,site,False,,,,
0.5,30,0.05,record,True,0.69,0.9362,0.044074,False
0.5,30,0.1,site,True,0.55,0.9843,0.059945,False
0.5,30,0.1,record,True,0.55,0.9843,0.059945,False
0.5,31,0.05,site,False,,,,
0.5,31,0.05,record,True,0.67,0.948,0.045959,False
0.5,31,0.1,site,True,0.55,0.9854,0.05896,False
0.5,31,0.1,record,True,0.55,0.9854,0.05896,False
0.5,32,0.05,site,False,,,,
0.5,32,0.05,record,True,0.79,0.8993,0.030479,False
0.5,32,0.1,site,True,0.55,0.9856,0.056232,False
0.5,32,0.1,record,True,0.55,0.9856,0.056232,False
0.5,33,0.05,site,False,,,,
0.5,33,0.05,record,True,0.71,0.9288,0.040212,False
0.5,33,0.1,site,True,0.55,0.9843,0.058307,False
0.5,33,0.1,record,True,0.55,0.9843,0.058307,False
0.5,34,0.05,site,False,,,,
0.5,34,0.05,record,True,0.73,0.9226,0.038267,False
0.5,34,0.1,site,True,0.55,0.9848,0.057963,False
0.5,34,0.1,record,True,0.55,0.9848,0.057963,False
0.5,35,0.05,site,False,,,,
0.5,35,0.05,record,True,0.65,0.9519,0.047923,False
0.5,35,0.1,site,True,0.55,0.9845,0.060042,False
0.5,35,0.1,record,True,0.55,0.9845,0.060042,False
0.5,36,0.05,site,False,,,,
0.5,36,0.05,record,True,0.65,0.9536,0.0465,False
0.5,36,0.1,site,True,0.55,0.9854,0.058134,False
0.5,36,0.1,record,True,0.55,0.9854,0.058134,False
0.5,37,0.05,site,False,,,,
0.5,37,0.05,record,True,0.73,0.9185,0.036469,False
0.5,37,0.1,site,True,0.55,0.9847,0.057993,False
0.5,37,0.1,record,True,0.55,0.9847,0.057993,False
0.5,38,0.05,site,False,,,,
0.5,38,0.05,record,True,0.73,0.9237,0.040414,False
0.5,38,0.1,site,True,0.55,0.9856,0.060521,False
0.5,38,0.1,record,True,0.55,0.9856,0.060521,False
0.5,39,0.05,site,False,,,,
0.5,39,0.05,record,True,0.69,0.9365,0.042622,False
0.5,39,0.1,site,True,0.55,0.9844,0.060336,False
0.5,39,0.1,record,True,0.55,0.9844,0.060336,False
0.5,40,0.05,site,False,,,,
0.5,40,0.05,record,True,0.79,0.8795,0.028932,False
0.5,40,0.1,site,True,0.59,0.9694,0.051929,False
0.5,40,0.1,record,True,0.55,0.9831,0.05633,False
0.5,41,0.05,site,False,,,,
0.5,41,0.05,record,True,0.79,0.897,0.02871,False
0.5,41,0.1,site,True,0.57,0.9796,0.052302,False
0.5,41,0.1,record,True,0.55,0.9853,0.054626,False
0.5,42,0.05,site,False,,,,
0.5,42,0.05,record,True,0.75,0.9078,0.034389,False
0.5,42,0.1,site,True,0.55,0.9838,0.057004,False
0.5,42,0.1,record,True,0.55,0.9838,0.057004,False
0.5,43,0.05,site,False,,,,
0.5,43,0.05,record,True,0.71,0.9321,0.040553,False
0.5,43,0.1,site,True,0.55,0.9854,0.057367,False
0.5,43,0.1,record,True,0.55,0.9854,0.057367,False
0.5,44,0.05,site,False,,,,
0.5,44,0.05,record,True,0.73,0.9247,0.038178,False
0.5,44,0.1,site,True,0.55,0.9856,0.056564,False
0.5,44,0.1,record,True,0.55,0.9856,0.056564,False
0.5,45,0.05,site,False,,,,
0.5,45,0.05,record,True,0.75,0.9176,0.033324,False
0.5,45,0.1,site,True,0.55,0.9863,0.05579,False
0.5,45,0.1,record,True,0.55,0.9863,0.05579,False
0.5,46,0.05,site,False,,,,
0.5,46,0.05,record,True,0.77,0.9045,0.031985,False
0.5,46,0.1,site,True,0.57,0.979,0.054916,False
0.5,46,0.1,record,True,0.55,0.9849,0.057583,False
0.5,47,0.05,site,False,,,,
0.5,47,0.05,record,True,0.61,0.9648,0.051292,True
0.5,47,0.1,site,True,0.55,0.9843,0.05879,False
0.5,47,0.1,record,True,0.55,0.9843,0.05879,False
0.5,48,0.05,site,False,,,,
0.5,48,0.05,record,True,0.77,0.9096,0.034584,False
0.5,48,0.1,site,True,0.55,0.9857,0.057406,False
0.5,48,0.1,record,True,0.55,0.9857,0.057406,False
0.5,49,0.05,site,False,,,,
0.5,49,0.05,record,True,0.79,0.8956,0.03247,False
0.5,49,0.1,site,True,0.55,0.9851,0.058389,False
0.5,49,0.1,record,True,0.55,0.9851,0.058389,False
0.5,50,0.05,site,False,,,,
0.5,50,0.05,record,True,0.71,0.9329,0.039514,False
0.5,50,0.1,site,True,0.55,0.9852,0.057478,False
0.5,50,0.1,record,True,0.55,0.9852,0.057478,False
0.5,51,0.05,site,False,,,,
0.5,51,0.05,record,True,0.75,0.9166,0.034363,False
0.5,51,0.1,site,True,0.55,0.9857,0.055611,False
0.5,51,0.1,record,True,0.55,0.9857,0.055611,False
0.5,52,0.05,site,False,,,,
0.5,52,0.05,record,True,0.77,0.9058,0.033412,False
0.5,52,0.1,site,True,0.57,0.9791,0.055296,False
0.5,52,0.1,record,True,0.55,0.9853,0.057651,False
0.5,53,0.05,site,False,,,,
0.5,53,0.05,record,True,0.67,0.9459,0.041284,False
0.5,53,0.1,site,True,0.55,0.9851,0.054,False
0.5,53,0.1,record,True,0.55,0.9851,0.054,False
0.5,54,0.05,site,False,,,,
0.5,54,0.05,record,True,0.75,0.9119,0.035908,False
0.5,54,0.1,site,True,0.55,0.9851,0.060178,False
0.5,54,0.1,record,True,0.55,0.9851,0.060178,False
0.5,55,0.05,site,False,,,,
0.5,55,0.05,record,True,0.75,0.9143,0.033788,False
0.5,55,0.1,site,True,0.57,0.979,0.054425,False
0.5,55,0.1,record,True,0.55,0.985,0.056868,False
0.5,56,0.05,site,False,,,,
0.5,56,0.05,record,True,0.67,0.9444,0.04386,False
0.5,56,0.1,site,True,0.55,0.9849,0.057877,False
0.5,56,0.1,record,True,0.55,0.9849,0.057877,False
0.5,57,0.05,site,False,,,,
0.5,57,0.05,record,True,0.71,0.9288,0.037701,False
0.5,57,0.1,site,True,0.55,0.9844,0.056867,False
0.5,57,0.1,record,True,0.55,0.9844,0.056867,False
0.5,58,0.05,site,False,,,,
0.5,58,0.05,record,True,0.79,0.8907,0.031372,False
0.5,58,0.1,site,True,0.57,0.9776,0.05687,False
0.5,58,0.1,record,True,0.55,0.984,0.05946,False
0.5,59,0.05,site,False,,,,
0.5,59,0.05,record,True,0.73,0.9254,0.037991,False
0.5,59,0.1,site,True,0.57,0.9802,0.055783,False
0.5,59,0.1,record,True,0.55,0.9857,0.057817,False
0.5,60,0.05,site,False,,,,
0.5,60,0.05,record,True,0.73,0.922,0.037669,False
0.5,60,0.1,site,True,0.55,0.9843,0.058164,False
0.5,60,0.1,record,True,0.55,0.9843,0.058164,False
0.5,61,0.05,site,False,,,,
0.5,61,0.05,record,True,0.75,0.9173,0.036704,False
0.5,61,0.1,site,True,0.55,0.9856,0.059761,False
0.5,61,0.1,record,True,0.55,0.9856,0.059761,False
0.5,62,0.05,site,False,,,,
0.5,62,0.05,record,True,0.69,0.9439,0.041551,False
0.5,62,0.1,site,True,0.55,0.9864,0.056754,False
0.5,62,0.1,record,True,0.55,0.9864,0.056754,False
0.5,63,0.05,site,False,,,,
0.5,63,0.05,record,True,0.81,0.8877,0.027852,False
0.5,63,0.1,site,True,0.55,0.9853,0.054972,False
