replicate,alpha,n_answered,certgate_answered_err,apache_iva_brier_answered,apache_iva_auc_answered,n_apache_available
0,0.05,0,,,,0
0,0.1,12964,0.0419,0.038079,0.820073,10404
1,0.05,0,,,,0
1,0.1,20120,0.0462,0.041565,0.825542,16995
2,0.05,0,,,,0
2,0.1,17555,0.0365,0.031744,0.818453,12831
3,0.05,0,,,,0
3,0.1,15912,0.0454,0.041977,0.810863,13846
4,0.05,0,,,,0
4,0.1,18525,0.0539,0.047323,0.818131,16279
5,0.05,0,,,,0
5,0.1,17772,0.0352,0.034632,0.805291,13843
6,0.05,0,,,,0
6,0.1,16491,0.0516,0.047462,0.81294,11971
7,0.05,0,,,,0
7,0.1,13649,0.0403,0.03818,0.818904,11219
8,0.05,0,,,,0
8,0.1,12369,0.0443,0.043289,0.820681,9987
9,0.05,0,,,,0
9,0.1,15889,0.0523,0.049431,0.815779,13276
10,0.05,0,,,,0
10,0.1,21431,0.0568,0.048793,0.836175,17953
11,0.05,0,,,,0
11,0.1,19006,0.0557,0.050457,0.836488,16318
12,0.05,0,,,,0
12,0.1,15127,0.037,0.036578,0.826191,13327
13,0.05,0,,,,0
13,0.1,24812,0.0557,0.050324,0.824114,19890
14,0.05,0,,,,0
14,0.1,14150,0.0482,0.044379,0.813679,12214
15,0.05,0,,,,0
15,0.1,15758,0.0496,0.043316,0.824848,12433
16,0.05,0,,,,0
16,0.1,14705,0.0518,0.049236,0.814095,11562
17,0.05,0,,,,0
17,0.1,18536,0.0516,0.046355,0.821835,15200
18,0.05,0,,,,0
18,0.1,18062,0.0503,0.045225,0.818187,15433
19,0.05,0,,,,0
19,0.1,20509,0.0522,0.045955,0.824347,17216
