replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
0,primary,hosp-61,0.05,174,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,0.977011,0.977011
0,primary,hosp-61,0.1,174,bbse:bbse-misspecified,True,0.85,0.8793,153,0.0261,False,<100,f,Midwest,0.977011,0.977011
0,primary,hosp-71,0.05,777,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,0.97426,0.97426
0,primary,hosp-71,0.1,777,bbse:bbse-misspecified,True,0.85,0.8945,695,0.0144,False,100 - 249,f,Midwest,0.97426,0.97426
0,primary,hosp-115,0.05,57,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,South,0.894737,0.894737
0,primary,hosp-115,0.1,57,bbse:bbse-misspecified,True,0.85,0.7719,44,0.0682,False,<100,f,South,0.894737,0.894737
0,primary,hosp-122,0.05,2701,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,f,South,0.987042,0.987042
0,primary,hosp-122,0.1,2701,bbse:failsafe,True,0.85,0.8419,2274,0.0585,False,>= 500,f,South,0.987042,0.987042
0,primary,hosp-141,0.05,1325,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,South,0.998491,0.998491
0,primary,hosp-141,0.1,1325,bbse:failsafe,True,0.85,0.8475,1123,0.0321,False,250 - 499,f,South,0.998491,0.998491
0,primary,hosp-144,0.05,702,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,South,0.98433,0.98433
0,primary,hosp-144,0.1,702,bbse:failsafe,True,0.85,0.8319,584,0.0411,False,100 - 249,f,South,0.98433,0.98433
0,primary,hosp-201,0.05,133,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,,0.992481,0.992481
0,primary,hosp-201,0.1,133,bbse:bbse-misspecified,True,0.85,0.8722,116,0.0517,False,100 - 249,f,,0.992481,0.992481
0,primary,hosp-202,0.05,853,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Northeast,0.991794,0.991794
0,primary,hosp-202,0.1,853,bbse:failsafe,True,0.85,0.8206,700,0.0414,False,100 - 249,f,Northeast,0.991794,0.991794
0,primary,hosp-203,0.05,124,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,,0.983871,0.983871
0,primary,hosp-203,0.1,124,bbse:bbse-misspecified,True,0.85,0.8387,104,0.0673,False,100 - 249,f,,0.983871,0.983871
0,primary,hosp-205,0.05,355,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Northeast,0.295775,0.295775
0,primary,hosp-205,0.1,355,bbse:bbse-misspecified,True,0.85,0.9887,351,0.0142,False,<100,f,Northeast,0.295775,0.295775
0,primary,hosp-227,0.05,1246,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,West,0.998395,0.998395
0,primary,hosp-227,0.1,1246,bbse:failsafe,True,0.85,0.8547,1065,0.0479,False,250 - 499,f,West,0.998395,0.998395
0,primary,hosp-253,0.05,437,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Midwest,0.997712,0.997712
