replicate,arm,alpha,certified,tau,tau_idx,deploy_mode,modes,coverage,n_target,n_answered,answered_err_rate,rm_fresh,rm_exceed,per_site_exceed_frac,hard,n_cal_carrying,head_auc_oos,head_auc_ablated,ablation_drop,leak_alarm,decline_reason
0,primary,0.05,False,,,,,,15169,0,,,,,False,74,0.859523,0.855886,0.003636,False,baseline:failsafe|bbse:failsafe
0,primary,0.1,True,0.85,15,baseline,baseline,0.8546,15169,12964,0.0419,0.041458,False,0.0417,False,74,0.859523,0.855886,0.003636,False,bbse:failsafe
1,primary,0.05,False,,,,,,22628,0,,,,,False,74,0.865043,0.860683,0.00436,False,baseline:failsafe|bbse:failsafe
1,primary,0.1,True,0.79,12,baseline,baseline,0.8892,22628,20120,0.0462,0.042199,False,0.0417,False,74,0.865043,0.860683,0.00436,False,bbse:failsafe
2,primary,0.05,False,,,,,,21727,0,,,,,False,74,0.854435,0.84946,0.004975,False,baseline:failsafe|bbse:failsafe
2,primary,0.1,True,0.87,16,baseline,baseline,0.808,21727,17555,0.0365,0.037825,False,0.0417,False,74,0.854435,0.84946,0.004975,False,bbse:failsafe
3,primary,0.05,False,,,,,,17910,0,,,,,False,74,0.863688,0.858599,0.005088,False,baseline:failsafe|bbse:failsafe
3,primary,0.1,True,0.79,12,baseline,baseline,0.8884,17910,15912,0.0454,0.042672,False,0.0,False,74,0.863688,0.858599,0.005088,False,bbse:failsafe
4,primary,0.05,False,,,,,,20341,0,,,,,False,74,0.867222,0.863129,0.004094,False,baseline:failsafe|bbse:failsafe
4,primary,0.1,True,0.77,11,baseline,baseline,0.9107,20341,18525,0.0539,0.052968,False,0.0,False,74,0.867222,0.863129,0.004094,False,bbse:failsafe
5,primary,0.05,False,,,,,,20764,0,,,,,False,74,0.863793,0.862901,0.000892,False,baseline:failsafe|bbse:failsafe
5,primary,0.1,True,0.83,14,baseline,baseline,0.8559,20764,17772,0.0352,0.034789,False,0.0,False,74,0.863793,0.862901,0.000892,False,bbse:failsafe
6,primary,0.05,False,,,,,,18094,0,,,,,False,74,0.865143,0.858795,0.006348,False,baseline:failsafe|bbse:failsafe
6,primary,0.1,True,0.77,11,baseline,baseline,0.9114,18094,16491,0.0516,0.059321,False,0.0833,False,74,0.865143,0.858795,0.006348,False,bbse:failsafe
7,primary,0.05,False,,,,,,15879,0,,,,,False,74,0.857392,0.851597,0.005795,False,baseline:failsafe|bbse:failsafe
7,primary,0.1,True,0.83,14,baseline,baseline,0.8596,15879,13649,0.0403,0.04371,False,0.0417,False,74,0.857392,0.851597,0.005795,False,bbse:failsafe
8,primary,0.05,False,,,,,,13667,0,,,,,False,74,0.86113,0.855862,0.005268,False,baseline:failsafe|bbse:failsafe
8,primary,0.1,True,0.79,12,baseline,baseline,0.905,13667,12369,0.0443,0.051046,False,0.0417,False,74,0.86113,0.855862,0.005268,False,bbse:failsafe
9,primary,0.05,False,,,,,,17651,0,,,,,False,74,0.861089,0.855407,0.005682,False,baseline:failsafe|bbse:failsafe
9,primary,0.1,True,0.79,12,baseline,baseline,0.9002,17651,15889,0.0523,0.049503,False,0.0,False,74,0.861089,0.855407,0.005682,False,bbse:failsafe
10,primary,0.05,False,,,,,,23954,0,,,,,False,74,0.858291,0.853306,0.004984,False,baseline:failsafe|bbse:failsafe
10,primary,0.1,True,0.79,12,baseline,baseline,0.8947,23954,21431,0.0568,0.052965,False,0.0417,False,74,0.858291,0.853306,0.004984,False,bbse:failsafe
11,primary,0.05,False,,,,,,20661,0,,,,,False,74,0.865518,0.861871,0.003647,False,baseline:failsafe|bbse:failsafe
11,primary,0.1,True,0.73,9,baseline,baseline,0.9199,20661,19006,0.0557,0.057796,False,0.0833,False,74,0.865518,0.861871,0.003647,False,bbse:failsafe
12,primary,0.05,False,,,,,,17631,0,,,,,False,74,0.862971,0.860083,0.002888,False,baseline:failsafe|bbse:failsafe
12,primary,0.1,True,0.85,15,baseline,baseline,0.858,17631,15127,0.037,0.043137,False,0.0,False,74,0.862971,0.860083,0.002888,False,bbse:failsafe
13,primary,0.05,False,,,,,,27021,0,,,,,False,74,0.86006,0.855637,0.004423,False,baseline:failsafe|bbse:failsafe
13,primary,0.1,True,0.77,11,baseline,baseline,0.9182,27021,24812,0.0557,0.054048,False,0.0,False,74,0.86006,0.855637,0.004423,False,bbse:failsafe
14,primary,0.05,False,,,,,,15383,0,,,,,False,74,0.860327,0.855601,0.004726,False,baseline:failsafe|bbse:failsafe
14,primary,0.1,True,0.77,11,baseline,baseline,0.9198,15383,14150,0.0482,0.044973,False,0.0417,False,74,0.860327,0.855601,0.004726,False,bbse:failsafe
15,primary,0.05,False,,,,,,18353,0,,,,,False,74,0.854926,0.851014,0.003912,False,baseline:failsafe|bbse:failsafe
15,primary,0.1,True,0.83,14,baseline,baseline,0.8586,18353,15758,0.0496,0.040121,False,0.0,False,74,0.854926,0.851014,0.003912,False,bbse:failsafe
16,primary,0.05,False,,,,,,16287,0,,,,,False,74,0.865039,0.861196,0.003843,False,baseline:failsafe|bbse:failsafe
16,primary,0.1,True,0.79,12,baseline,baseline,0.9029,16287,14705,0.0518,0.051832,False,0.0417,False,74,0.865039,0.861196,0.003843,False,bbse:failsafe
17,primary,0.05,False,,,,,,20116,0,,,,,False,74,0.86115,0.856705,0.004445,False,baseline:failsafe|bbse:failsafe
17,primary,0.1,True,0.73,9,baseline,baseline,0.9215,20116,18536,0.0516,0.052277,False,0.0,False,74,0.86115,0.856705,0.004445,False,bbse:failsafe
18,primary,0.05,False,,,,,,19947,0,,,,,False,74,0.867035,0.862938,0.004097,False,baseline:failsafe|bbse:failsafe
18,primary,0.1,True,0.77,11,baseline,baseline,0.9055,19947,18062,0.0503,0.045156,False,0.0,False,74,0.867035,0.862938,0.004097,False,bbse:failsafe
19,primary,0.05,False,,,,,,22155,0,,,,,False,74,0.862009,0.858955,0.003054,False,baseline:failsafe|bbse:failsafe
19,primary,0.1,True,0.75,10,baseline,baseline,0.9257,22155,20509,0.0522,0.058783,False,0.0417,False,74,0.862009,0.858955,0.003054,False,bbse:failsafe
